object,L,a
2015 TG24,366,-77.6
2015 VH1,139,46.5
2015 VH65,178,28.9
2015 VR64,365,-89.4
2015 XA169,173,36.5
2015 XD169,73.6,43.9
2015 XN55,-1,-1
2015 XR169,253,63.7
2015 XV1,164,-68.9
2015 XY261,147,-5.48
2015 YA,64,-89.1
2016 AN9,-1,-1
2016 BA15,646,0.887
2016 CD137,-1,-1
2016 CD31,370,65.4
2016 CE194,85,-38.8
2016 CE3,609,-78.1
2016 CG18,360,-29.1
2016 CK31,187,60.1
2016 CW30,291,86.66
2016 EL157,103,35.5
2016 EN156,101,38.6
2016 EU84,54.4,-69.6
2016 EV84,142,81.1
2016 FF14,80,-18.2
2016 GE1,225,-28.5
2016 GG1,99,54.7
2016 HD3,-1,-1
2016 JB,-1,-1
2016 LT1,516,-69.8
2016 NM15,148,-5.02